topic_id	topic_label	tagged_rows	sample_titles
court_and_litigation	Court and Litigation	17	Giuffre v. Maxwell | Giuffre v. Maxwell | Giuffre v. Maxwell
congressional_record_activity	Congressional Record Activity	12	Jeffrey Epstein (Executive Session) | Sex Trafficking (Executive Calendar) | Jeffrey Epstein (Executive Calendar)
unsealing_and_access	Unsealing and Access	8	Attorney General Pamela Bondi releases first phase of declassified Epstein files | Epstein Files Transparency Act (H.R. 4405) - GovTrack.us | Introduced
congressional_oversight	Congressional Oversight	5	Attorney General Pamela Bondi releases first phase of declassified Epstein files | COMMITTEE ON OVERSIGHT AND GOVERNMENT REFORM EPSTEIN INVESTIGATION | Better Meals, Fewer Pills: Making Our Children Healthy Again
doj_release_operations	DOJ Release Operations	4	Attorney General Pamela Bondi releases first phase of declassified Epstein files | Department of Justice publishes 3.5 million responsive pages in compliance with Epstein files law | Oversight of the U.S. Department of Justice
transparency_legislation	Transparency Legislation	3	Epstein Files Transparency Act (H.R. 4405) - GovTrack.us | Introduced | Public Law 119-38
unclassified_epstein_records	Unclassified Epstein Records	3	Text of Senate Amendment 3140 | Text of Senate Amendment 3771 | JEFFREY EPSTEIN
victim_and_survivor_issues	Victim and Survivor Issues	2	Sex Trafficking (Executive Calendar) | A LETTER FROM SURVIVORS OF JEFFREY EPSTEIN AND GHISLAINE MAXWELL
clemency_and_pardon	Clemency and Pardon	1	SENATE RESOLUTION 608--EXPRESSING THE SENSE OF THE SENATE THAT GHISLAINE MAXWELL SHOULD NOT BE GRANTED A PRESIDENTIAL PARDON OR ANY FORM OF CLEMENCY FOR HER CRIMES WITH JEFFREY EPSTEIN RELATING TO...
