run_utc	doc_id	topic_id	topic_label	confidence	matched_terms	source_system	document_type	doc_date	url	title
20260214T040204Z	doc-courtlistener-91fb18783934	court_and_litigation	Court and Litigation	0.63	v.	courtlistener	court_record	2016-02-29	https://www.courtlistener.com/opinion/7318626/giuffre-v-maxwell/	Giuffre v. Maxwell
20260214T040204Z	doc-courtlistener-0baf3159397f	court_and_litigation	Court and Litigation	0.63	v.	courtlistener	court_record	2016-11-21	https://www.courtlistener.com/opinion/7322971/giuffre-v-maxwell/	Giuffre v. Maxwell
20260214T040204Z	doc-courtlistener-26b97f011ccc	court_and_litigation	Court and Litigation	0.63	v.	courtlistener	court_record	2018-08-27	https://www.courtlistener.com/opinion/7331533/giuffre-v-maxwell/	Giuffre v. Maxwell
20260214T040204Z	doc-courtlistener-024c3511ac6a	court_and_litigation	Court and Litigation	0.63	v.	courtlistener	court_record	2019-07-03	https://www.courtlistener.com/opinion/4636326/brown-v-maxwell-dershowitz-v-giuffre/	Brown v. Maxwell Dershowitz v. Giuffre
20260214T040204Z	doc-courtlistener-3374601313ac	court_and_litigation	Court and Litigation	0.63	v.	courtlistener	court_record	2019-07-03	https://www.courtlistener.com/opinion/4636340/brown-v-maxwell-dershowitz-v-giuffre/	Brown v. Maxwell Dershowitz v. Giuffre
20260214T040204Z	doc-govinfo-transcript-a8f202600243	congressional_record_activity	Congressional Record Activity	0.63	executive session	govinfo_wssearch	congressional_record_transcript	2019-07-09	https://www.govinfo.gov/content/pkg/CREC-2019-07-09/html/CREC-2019-07-09-pt1-PgS4708-3.htm	Jeffrey Epstein (Executive Session)
20260214T040204Z	doc-govinfo-transcript-715e3f2e3283	congressional_record_activity	Congressional Record Activity	0.63	executive calendar	govinfo_wssearch	congressional_record_transcript	2024-01-09	https://www.govinfo.gov/content/pkg/CREC-2024-01-09/html/CREC-2024-01-09-pt1-PgS35-3.htm	Sex Trafficking (Executive Calendar)
20260214T040204Z	doc-govinfo-transcript-715e3f2e3283	victim_and_survivor_issues	Victim and Survivor Issues	0.71	sex trafficking, trafficking	govinfo_wssearch	congressional_record_transcript	2024-01-09	https://www.govinfo.gov/content/pkg/CREC-2024-01-09/html/CREC-2024-01-09-pt1-PgS35-3.htm	Sex Trafficking (Executive Calendar)
20260214T040204Z	doc-courtlistener-176880d5475c	court_and_litigation	Court and Litigation	0.63	v.	courtlistener	court_record	2024-09-17	https://www.courtlistener.com/opinion/10119519/united-states-v-maxwell/	United States v. Maxwell
20260214T040204Z	doc-govinfo-transcript-06ad6deaa89c	congressional_record_activity	Congressional Record Activity	0.63	executive calendar	govinfo_wssearch	congressional_record_transcript	2025-02-05	https://www.govinfo.gov/content/pkg/CREC-2025-02-05/html/CREC-2025-02-05-pt1-PgS609.htm	Jeffrey Epstein (Executive Calendar)
