ingested_at_utc	doc_id	source_system	source_tier	capture_method	content_checksum	document_type	jurisdiction	title	doc_date	url	citation	entity_tags	status	extracted_from
20260217T090715Z	doc-govinfo-transcript-748ff468f3e8	govinfo_wssearch	tier1_primary	api	98062da8cb13d98be821e467d7482bef7939cd45	congressional_record_transcript	US Congress	Jeffrey Epstein (Executive Session)	2026-01-06	https://www.govinfo.gov/content/pkg/CREC-2026-01-06/html/CREC-2026-01-06-pt1-PgS21.htm	172 Cong. Rec. S21  - Jeffrey Epstein (Executive Session)	jeffrey_epstein,ghislaine_maxwell,congressional_transcript	published	"govinfo_wssearch:""Jeffrey Epstein"" collection:CREC"
20260217T090715Z	doc-recap-e58c10b2d148	courtlistener_recap	tier1_primary	api	334a16b266dd63d1d3dd020176c6c04366bbc062	pacer_recap_document	District Court, S.D. Florida	Doe v. Estate of Jeffrey Epstein - Summon(s)	2026-01-22	https://www.courtlistener.com/docket/72177563/1/2/doe-v-estate-of-jeffrey-epstein/	9:26-cv-80078 entry 1 doc 1	jeffrey_epstein,ghislaine_maxwell,pacer,recap	unavailable	courtlistener_recap:Jeffrey Epstein
20260217T090715Z	doc-recap-31328936be79	courtlistener_recap	tier1_primary	api	370a9945a83eb459b3f7eaa74523563a027b5f7b	pacer_recap_document	District Court, S.D. Florida	Doe v. Estate of Jeffrey Epstein - Summon(s)	2026-01-22	https://www.courtlistener.com/docket/72177563/1/4/doe-v-estate-of-jeffrey-epstein/	9:26-cv-80078 entry 1 doc 1	jeffrey_epstein,ghislaine_maxwell,pacer,recap	unavailable	courtlistener_recap:Jeffrey Epstein
20260217T090715Z	doc-recap-db2c7f606478	courtlistener_recap	tier1_primary	api	8744e2046dba0203b6ecf3bb7183671965825826	pacer_recap_document	District Court, S.D. Florida	Doe v. Estate of Jeffrey Epstein - Complaint	2026-01-22	https://www.courtlistener.com/docket/72177563/1/doe-v-estate-of-jeffrey-epstein/	9:26-cv-80078 entry 1 doc 1	jeffrey_epstein,ghislaine_maxwell,pacer,recap	available	courtlistener_recap:Jeffrey Epstein
20260217T090715Z	doc-recap-0896edea1a77	courtlistener_recap	tier1_primary	api	4fab03d8308c07699d2f1f8b56cef489d99a2e65	pacer_recap_document	District Court, S.D. New York	Castro v. Omta Tech Inc. - Notice of Appearance	2026-01-29	https://www.courtlistener.com/docket/72116553/16/castro-v-omta-tech-inc/	1:26-cv-00133 entry 16 doc 16	jeffrey_epstein,ghislaine_maxwell,pacer,recap	unavailable	courtlistener_recap:Jeffrey Epstein
20260217T090715Z	doc-doj-opa-35m-pages	justice_opa	tier1_primary	manual	b2d7aa1dc1d6f92e027f74f6a566f525dafa537d	agency_release	US DOJ	Department of Justice publishes 3.5 million responsive pages in compliance with Epstein files law	2026-01-30	https://www.justice.gov/opa/pr/department-justice-publishes-35-million-responsive-pages-compliance-epstein-files	DOJ OPA	doj,epstein_files	published	justice_opa
20260217T090715Z	doc-house-hearing-oversight-doj-2026	house_judiciary	tier1_primary	html_scrape	09c725bb70fd949ad8044d8033433bf0a51da7d8	congressional_hearing	US Congress	Oversight of the U.S. Department of Justice	2026-02-11	https://judiciary.house.gov/committee-activity/hearings/oversight-us-department-justice-5	House Judiciary Hearing	pam_bondi,doj,epstein_files	published	house_judiciary
20260217T090715Z	doc-house-hearing-video-4aa726fa0c85	house_judiciary	tier1_primary	html_scrape	cd525b9ead459967c79cadf222cd0e08acbd82ac	hearing_video	US Congress	Oversight of the U.S. Department of Justice (Video)	2026-02-11	https://www.youtube.com/watch?v=y-a21mymUrE	House Judiciary YouTube Stream	pam_bondi,doj,epstein_files	published	house_judiciary
20260217T090715Z	doc-govinfo-transcript-d2204fbbbd6e	govinfo_wssearch	tier1_primary	api	3124012bdda0dded0f02c0dc6e08e420b959acc6	congressional_record_transcript	US Congress	SUBMISSION OF CONCURRENT AND SENATE RESOLUTIONS	2026-02-12	https://www.govinfo.gov/content/pkg/CREC-2026-02-12/html/CREC-2026-02-12-pt1-PgS610.htm	172 Cong. Rec. S610  - SUBMISSION OF CONCURRENT AND SENATE RESOLUTIONS	jeffrey_epstein,ghislaine_maxwell,congressional_transcript	published	"govinfo_wssearch:""Ghislaine Maxwell"" collection:CREC"
20260217T090715Z	doc-govinfo-transcript-f78a7e0b748b	govinfo_wssearch	tier1_primary	api	06d1a44fa5098bc66b004a6539f58cb69be7075f	congressional_record_transcript	US Congress	SENATE RESOLUTION 608--EXPRESSING THE SENSE OF THE SENATE THAT GHISLAINE MAXWELL SHOULD NOT BE GRANTED A PRESIDENTIAL PARDON OR ANY FORM OF CLEMENCY FOR HER CRIMES WITH JEFFREY EPSTEIN RELATING TO...	2026-02-12	https://www.govinfo.gov/content/pkg/CREC-2026-02-12/html/CREC-2026-02-12-pt1-PgS613.htm	172 Cong. Rec. S613  - SENATE RESOLUTION 608--EXPRESSING THE SENSE OF THE SENATE THAT GHISLAINE MAXWELL SHOULD NOT BE...	jeffrey_epstein,ghislaine_maxwell,congressional_transcript	published	"govinfo_wssearch:""Jeffrey Epstein"" collection:CREC"
