run_utc	entity_id	entity_type	canonical_name	alias_name	normalized_alias_name	alias_type	resolution_method	similarity	source	source_doc_id	source_url
20260217T090720Z	entity-3c7a114f849b4dac	person	Nadia Marcinkova	Nadia Marcinkova	nadia marcinkova	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-67d62f82fe25ad2e	person	Naomi Campbell	Naomi Campbell	naomi campbell	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-67d62f82fe25ad2e	person	Naomi Campbell	Naomi Campbell	naomi campbell	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-a09a334f308bae44	person	Nicola Caputo	Nicola Caputo	nicola caputo	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-a09a334f308bae44	person	Nicola Caputo	Nicola Caputo	nicola caputo	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-5fece04059ba0949	person	Pam Bondi	Pam Bondi	pam bondi	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-5fece04059ba0949	person	Pam Bondi	Pam Bondi	pam bondi	extracted_variant	canonical_create	1.00	claim_registry		
20260217T090720Z	entity-fed4fade51cbe286	person	Peggy Siegal	Peggy Siegal	peggy siegal	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-fed4fade51cbe286	person	Peggy Siegal	Peggy Siegal	peggy siegal	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-149c0e1ea308d3e4	person	Peter Attia	Peter Attia	peter attia	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-149c0e1ea308d3e4	person	Peter Attia	Peter Attia	peter attia	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-b8888eb121d9b858	person	Peter Mandelson	Peter Mandelson	peter mandelson	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-b8888eb121d9b858	person	Peter Mandelson	Peter Mandelson	peter mandelson	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-431689d8ab66328c	person	Prince Andrew	Prince Andrew	prince andrew	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-431689d8ab66328c	person	Prince Andrew	Prince Andrew	prince andrew	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-cf534114040acf27	person	Reid Hoffman	Reid Hoffman	reid hoffman	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-cf534114040acf27	person	Reid Hoffman	Reid Hoffman	reid hoffman	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-38f1b76d45aaef3a	person	Religious Figures	Religious Figures	religious figures	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-38f1b76d45aaef3a	person	Religious Figures	Religious Figures	religious figures	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-651ce0659f433655	organization	Reuters	Reuters	reuters	asserted_by	canonical_create	1.00	claim_registry		
20260217T090720Z	entity-651ce0659f433655	organization	Reuters	Reuters	reuters	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-7b458a06b427d96a	person	Richard Branson	Richard Branson	richard branson	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-7b458a06b427d96a	person	Richard Branson	Richard Branson	richard branson	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-d91a1d1c21ec91f8	person	Salvatore Nuara	Salvatore Nuara	salvatore nuara	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-d91a1d1c21ec91f8	person	Salvatore Nuara	Salvatore Nuara	salvatore nuara	profile_slug	canonical_create	1.00	profiles		
