ingested_at_utc	source_page	snapshot_file	url	path	link_type	status_code
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://apnews.com/article/049c96080a2ca2c12c84ac506437e50b	/article/049c96080a2ca2c12c84ac506437e50b	other	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://apnews.com/article/13eeb9ccadcc03ba34922d8ba95ce220	/article/13eeb9ccadcc03ba34922d8ba95ce220	other	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://apnews.com/article/5219f89459e80a141b84e1aa2551b0d2	/article/5219f89459e80a141b84e1aa2551b0d2	other	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://apnews.com/article/6d7502b80e42e9e9454264e242507bbd	/article/6d7502b80e42e9e9454264e242507bbd	other	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://apnews.com/article/82cf3efbffe5ed2c1ea89dde06c86490	/article/82cf3efbffe5ed2c1ea89dde06c86490	other	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://apnews.com/article/f1e947bb9128aaa626390f0987f322e9	/article/f1e947bb9128aaa626390f0987f322e9	other	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://judiciary.house.gov/committee-activity/hearings/oversight-us-department-justice-5	/committee-activity/hearings/oversight-us-department-justice-5	other	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://oig.justice.gov/reports/investigation-and-review-federal-bureau-prisons-custody-care-and-supervision-jeffrey	/reports/investigation-and-review-federal-bureau-prisons-custody-care-and-supervision-jeffrey	other	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://oversight.house.gov/release/oversight-committee-releases-epstein-records-provided-by-the-department-of-justice/	/release/oversight-committee-releases-epstein-records-provided-by-the-department-of-justice/	other	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://web.archive.org/web/20240201000000*/https://www.miamiherald.com/topics/jeffrey-epstein/	/web/20240201000000*/https://www.miamiherald.com/topics/jeffrey-epstein/	other	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.cbsnews.com/live-updates/pam-bondi-hearing-epstein-files-justice-department-congress/	/live-updates/pam-bondi-hearing-epstein-files-justice-department-congress/	other	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.govinfo.gov/link/plaw/119/public/38	/link/plaw/119/public/38	other	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.govtrack.us/congress/bills/119/hr4405	/congress/bills/119/hr4405	other	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/epstein	/epstein	epstein_page	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/epstein#court-records	/epstein#court-records	epstein_page	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/epstein/doj-disclosures	/epstein/doj-disclosures	epstein_page	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	/epstein/doj-disclosures/data-set-1-files	dataset_or_download	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/epstein/doj-disclosures/data-set-10-files	/epstein/doj-disclosures/data-set-10-files	dataset_or_download	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/epstein/doj-disclosures/data-set-11-files	/epstein/doj-disclosures/data-set-11-files	dataset_or_download	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/epstein/doj-disclosures/data-set-12-files	/epstein/doj-disclosures/data-set-12-files	dataset_or_download	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	/epstein/doj-disclosures/data-set-2-files	dataset_or_download	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/epstein/doj-disclosures/data-set-3-files	/epstein/doj-disclosures/data-set-3-files	dataset_or_download	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/epstein/doj-disclosures/data-set-4-files	/epstein/doj-disclosures/data-set-4-files	dataset_or_download	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/epstein/doj-disclosures/data-set-5-files	/epstein/doj-disclosures/data-set-5-files	dataset_or_download	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/epstein/doj-disclosures/data-set-6-files	/epstein/doj-disclosures/data-set-6-files	dataset_or_download	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/epstein/doj-disclosures/data-set-7-files	/epstein/doj-disclosures/data-set-7-files	dataset_or_download	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/epstein/doj-disclosures/data-set-8-files	/epstein/doj-disclosures/data-set-8-files	dataset_or_download	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/epstein/doj-disclosures/data-set-9-files	/epstein/doj-disclosures/data-set-9-files	dataset_or_download	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/epstein/search	/epstein/search	epstein_page	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/opa/pr/attorney-general-pamela-bondi-releases-first-phase-declassified-epstein-files	/opa/pr/attorney-general-pamela-bondi-releases-first-phase-declassified-epstein-files	other	200
20260217T051955Z	https://www.justice.gov/epstein	raw/doj_epstein_library/20260217T051955Z_epstein.html	https://www.justice.gov/opa/pr/department-justice-publishes-35-million-responsive-pages-compliance-epstein-files	/opa/pr/department-justice-publishes-35-million-responsive-pages-compliance-epstein-files	other	200
