run_utc	dataset_number	dataset_url	listing_page_url	file_url	file_name
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000027.pdf	EFTA00000027.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000028.pdf	EFTA00000028.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000029.pdf	EFTA00000029.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000030.pdf	EFTA00000030.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000031.pdf	EFTA00000031.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000032.pdf	EFTA00000032.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000033.pdf	EFTA00000033.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000034.pdf	EFTA00000034.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000035.pdf	EFTA00000035.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000036.pdf	EFTA00000036.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000037.pdf	EFTA00000037.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000038.pdf	EFTA00000038.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000039.pdf	EFTA00000039.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000040.pdf	EFTA00000040.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000041.pdf	EFTA00000041.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000042.pdf	EFTA00000042.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000043.pdf	EFTA00000043.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000044.pdf	EFTA00000044.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000045.pdf	EFTA00000045.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000046.pdf	EFTA00000046.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000047.pdf	EFTA00000047.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000048.pdf	EFTA00000048.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000049.pdf	EFTA00000049.pdf
20260219T011825Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000050.pdf	EFTA00000050.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003159.pdf	EFTA00003159.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003160.pdf	EFTA00003160.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003161.pdf	EFTA00003161.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003162.pdf	EFTA00003162.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003163.pdf	EFTA00003163.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003164.pdf	EFTA00003164.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003165.pdf	EFTA00003165.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003166.pdf	EFTA00003166.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003167.pdf	EFTA00003167.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003168.pdf	EFTA00003168.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003169.pdf	EFTA00003169.pdf
