source	source_kind	discovery_source	discovery_detail	url	url_lastmod	published_utc	title	match_terms
gdelt	news_feed	https://api.gdeltproject.org/api/v2/doc/doc	"Jeffrey Epstein" (https://api.gdeltproject.org/api/v2/doc/doc?query=%22Jeffrey+Epstein%22&mode=ArtList&maxrecords=250&format=json&sort=DateDesc)	http://www.austinglobe.com/news/278872466/have-nothing-to-hide-nothing-to-do-with-jeffrey-epstein-trump-rubbishes-links-with-epstein			Have nothing to hide , nothing to do with Jeffrey Epstein : Trump rubbishes links with Epstein	epstein,jeffrey-epstein
gdelt	news_feed	https://api.gdeltproject.org/api/v2/doc/doc	"Jeffrey Epstein" (https://api.gdeltproject.org/api/v2/doc/doc?query=%22Jeffrey+Epstein%22&mode=ArtList&maxrecords=250&format=json&sort=DateDesc)	http://www.bignewsnetwork.com/news/278872466/have-nothing-to-hide-nothing-to-do-with-jeffrey-epstein-trump-rubbishes-links-with-epstein			Have nothing to hide , nothing to do with Jeffrey Epstein : Trump rubbishes links with Epstein	epstein,jeffrey-epstein
gdelt	news_feed	https://api.gdeltproject.org/api/v2/doc/doc	"Jeffrey Epstein" (https://api.gdeltproject.org/api/v2/doc/doc?query=%22Jeffrey+Epstein%22&mode=ArtList&maxrecords=250&format=json&sort=DateDesc)	http://www.kenyastar.com/news/278872466/have-nothing-to-hide-nothing-to-do-with-jeffrey-epstein-trump-rubbishes-links-with-epstein			Have nothing to hide , nothing to do with Jeffrey Epstein : Trump rubbishes links with Epstein	epstein,jeffrey-epstein
gdelt	news_feed	https://api.gdeltproject.org/api/v2/doc/doc	"Jeffrey Epstein" (https://api.gdeltproject.org/api/v2/doc/doc?query=%22Jeffrey+Epstein%22&mode=ArtList&maxrecords=250&format=json&sort=DateDesc)	http://www.middleeaststar.com/news/278872466/have-nothing-to-hide-nothing-to-do-with-jeffrey-epstein-trump-rubbishes-links-with-epstein			Have nothing to hide , nothing to do with Jeffrey Epstein : Trump rubbishes links with Epstein	epstein,jeffrey-epstein
gdelt	news_feed	https://api.gdeltproject.org/api/v2/doc/doc	"Jeffrey Epstein" (https://api.gdeltproject.org/api/v2/doc/doc?query=%22Jeffrey+Epstein%22&mode=ArtList&maxrecords=250&format=json&sort=DateDesc)	http://www.russiaherald.com/news/278872466/have-nothing-to-hide-nothing-to-do-with-jeffrey-epstein-trump-rubbishes-links-with-epstein			Have nothing to hide , nothing to do with Jeffrey Epstein : Trump rubbishes links with Epstein	epstein,jeffrey-epstein
gdelt	news_feed	https://api.gdeltproject.org/api/v2/doc/doc	"Ghislaine Maxwell" (https://api.gdeltproject.org/api/v2/doc/doc?query=%22Ghislaine+Maxwell%22&mode=ArtList&maxrecords=250&format=json&sort=DateDesc)	https://991thewhale.com/ixp/295/p/mick-jagger-bono-rock-stars-epstein/			Why Are Mick Jagger , Bono and Other Rockers in the Epstein Files ?	epstein
gdelt	news_feed	https://api.gdeltproject.org/api/v2/doc/doc	"Ghislaine Maxwell" (https://api.gdeltproject.org/api/v2/doc/doc?query=%22Ghislaine+Maxwell%22&mode=ArtList&maxrecords=250&format=json&sort=DateDesc)	https://abc7chicago.com/post/casey-wasserman-selling-talent-agency-amid-jeffrey-epstein-fallout/18598810/			Casey Wasserman selling his talent agency amid Jeffrey Epstein fallout	epstein,jeffrey-epstein
gdelt	news_feed	https://api.gdeltproject.org/api/v2/doc/doc	"Ghislaine Maxwell" (https://api.gdeltproject.org/api/v2/doc/doc?query=%22Ghislaine+Maxwell%22&mode=ArtList&maxrecords=250&format=json&sort=DateDesc)	https://abc7news.com/post/casey-wasserman-selling-talent-agency-amid-jeffrey-epstein-fallout/18598810/			Casey Wasserman selling his talent agency amid Jeffrey Epstein fallout	epstein,jeffrey-epstein
gdelt	news_feed	https://api.gdeltproject.org/api/v2/doc/doc	"Jeffrey Epstein" (https://api.gdeltproject.org/api/v2/doc/doc?query=%22Jeffrey+Epstein%22&mode=ArtList&maxrecords=250&format=json&sort=DateDesc)	https://abovethelaw.com/2026/02/layoffs-and-mergers-and-epstein-oh-my-see-generally/			Layoffs , And Mergers , And Epstein , Oh My ! - See Generally	epstein
gdelt	news_feed	https://api.gdeltproject.org/api/v2/doc/doc	"Jeffrey Epstein" (https://api.gdeltproject.org/api/v2/doc/doc?query=%22Jeffrey+Epstein%22&mode=ArtList&maxrecords=250&format=json&sort=DateDesc)	https://allhiphop.com/news/exclusive-jeffrey-epstein-found-power-in-kanye-west-lyrics/			EXCLUSIVE : Jeffrey Epstein Found  Power  In Kanye West Lyrics	epstein,jeffrey-epstein
gdelt	news_feed	https://api.gdeltproject.org/api/v2/doc/doc	"Jeffrey Epstein" (https://api.gdeltproject.org/api/v2/doc/doc?query=%22Jeffrey+Epstein%22&mode=ArtList&maxrecords=250&format=json&sort=DateDesc)	https://alltoc.com/politics/what-are-the-consequences-of-the-epstein-files			What are the consequences of the Epstein files ?	epstein
