source	sitemap_url	parent_sitemap	status_code	final_url	content_type
ap_archive	https://apnews.com/ap-sitemap-200610.xml	https://apnews.com/sitemap.xml	200	https://apnews.com/ap-sitemap-200610.xml	text/xml;charset=UTF-8
ap_archive	https://apnews.com/ap-sitemap-200707.xml	https://apnews.com/sitemap.xml	200	https://apnews.com/ap-sitemap-200707.xml	text/xml;charset=UTF-8
ap_archive	https://apnews.com/ap-sitemap-200708.xml	https://apnews.com/sitemap.xml	200	https://apnews.com/ap-sitemap-200708.xml	text/xml;charset=UTF-8
ap_archive	https://apnews.com/ap-sitemap-200709.xml	https://apnews.com/sitemap.xml	200	https://apnews.com/ap-sitemap-200709.xml	text/xml;charset=UTF-8
reuters_news	https://www.reuters.com/arc/outboundfeeds/news-sitemap-index/?outputType=xml	https://www.reuters.com/arc/outboundfeeds/news-sitemap-index/?outputType=xml	200	https://www.reuters.com/arc/outboundfeeds/news-sitemap-index/?outputType=xml	application/xml; charset=utf-8
reuters_news	https://www.reuters.com/arc/outboundfeeds/news-sitemap/?outputType=xml	https://www.reuters.com/arc/outboundfeeds/news-sitemap-index/?outputType=xml	200	https://www.reuters.com/arc/outboundfeeds/news-sitemap/?outputType=xml	application/xml; charset=utf-8
reuters_news	https://www.reuters.com/arc/outboundfeeds/news-sitemap/?outputType=xml&from=100	https://www.reuters.com/arc/outboundfeeds/news-sitemap-index/?outputType=xml	200	https://www.reuters.com/arc/outboundfeeds/news-sitemap/?outputType=xml&from=100	application/xml; charset=utf-8
reuters_news	https://www.reuters.com/arc/outboundfeeds/news-sitemap/?outputType=xml&from=200	https://www.reuters.com/arc/outboundfeeds/news-sitemap-index/?outputType=xml	200	https://www.reuters.com/arc/outboundfeeds/news-sitemap/?outputType=xml&from=200	application/xml; charset=utf-8
reuters_news	https://www.reuters.com/arc/outboundfeeds/news-sitemap/?outputType=xml&from=300	https://www.reuters.com/arc/outboundfeeds/news-sitemap-index/?outputType=xml	200	https://www.reuters.com/arc/outboundfeeds/news-sitemap/?outputType=xml&from=300	application/xml; charset=utf-8
reuters_news	https://www.reuters.com/arc/outboundfeeds/news-sitemap/?outputType=xml&from=400	https://www.reuters.com/arc/outboundfeeds/news-sitemap-index/?outputType=xml	200	https://www.reuters.com/arc/outboundfeeds/news-sitemap/?outputType=xml&from=400	application/xml; charset=utf-8
