change_type	doc_id	source_system	document_type	doc_date	status	url	detail
added	doc-govinfo-transcript-715e3f2e3283	govinfo_wssearch	congressional_record_transcript	2024-01-09	published	https://www.govinfo.gov/content/pkg/CREC-2024-01-09/html/CREC-2024-01-09-pt1-PgS35-3.htm	Sex Trafficking (Executive Calendar)
added	doc-govinfo-transcript-cf78b738c498	govinfo_wssearch	congressional_hearing_transcript	2025-09-09	published	https://www.govinfo.gov/content/pkg/CHRG-119hhrg61719/html/CHRG-119hhrg61719.htm	Better Meals, Fewer Pills: Making Our Children Healthy Again
added	doc-recap-0896edea1a77	courtlistener_recap	pacer_recap_document	2026-01-29	unavailable	https://www.courtlistener.com/docket/72116553/16/castro-v-omta-tech-inc/	Castro v. Omta Tech Inc. - Notice of Appearance
removed	doc-courtlistener-174a6ecdfb34	courtlistener	court_record	2013-04-09	Published	https://www.courtlistener.com/opinion/6051442/21st-century-north-america-insurance-v-douglas/	21st Century North America Insurance v. Douglas
removed	doc-courtlistener-2b7b5cb5f770	courtlistener	court_record	2025-11-20	Published	https://www.courtlistener.com/opinion/10750845/kenneth-kammers-v-clarksville-montgomery-county-school-system/	Kenneth Kammers v. Clarksville-Montgomery County School System
removed	doc-courtlistener-2c4e1f6a95f7	courtlistener	court_record	2023-06-16	Published	https://www.courtlistener.com/opinion/9407205/in-re-marriage-of-andrew/	In re Marriage of Andrew
removed	doc-courtlistener-301c852e9a0c	courtlistener	court_record	2025-09-02	Published	https://www.courtlistener.com/opinion/10664836/united-states-of-america-v-google-llc/	United States of America v. Google LLC
removed	doc-courtlistener-3ae3f9cf1bb3	courtlistener	court_record	2025-07-09	Published	https://www.courtlistener.com/opinion/10625838/united-states-v-mackey/	United States v. MacKey
removed	doc-courtlistener-3c07478c4037	courtlistener	court_record	2025-09-24	Published	https://www.courtlistener.com/opinion/10676791/wedgewood-condominium-association-v-centex-homes-2/	Wedgewood Condominium Association v. Centex Homes (2)
removed	doc-courtlistener-562117c854b5	courtlistener	court_record	2025-07-16	Published	https://www.courtlistener.com/opinion/10633616/meswaet-abel-v-lacks-beach-service/	Meswaet Abel v. Lack's Beach Service
removed	doc-courtlistener-56d1fc114619	courtlistener	court_record	2014-10-09	Published	https://www.courtlistener.com/opinion/2741185/pinnacle-premier-properties-inc-and-pinnacle-realty-advisors-inc-v/	Pinnacle Premier Properties, Inc. and Pinnacle Realty Advisors, Inc v. Ghislain Breton, Catherine Denicourt and David Andreis
removed	doc-courtlistener-59d8dbce45be	courtlistener	court_record	2025-07-23	Published	https://www.courtlistener.com/opinion/10639735/ellis-v-bushwick-ctr-for-rehabilitation-nursing/	Ellis v. Bushwick Ctr. for Rehabilitation & Nursing
removed	doc-courtlistener-64a7bbc1e232	courtlistener	court_record	2025-10-03	Published	https://www.courtlistener.com/opinion/10690425/new-hampshire-indonesian-community-support-v-trump/	New Hampshire Indonesian Community Support v. Trump
removed	doc-courtlistener-6dfa049ce3d2	courtlistener	court_record	2025-12-05	Published	https://www.courtlistener.com/opinion/10748283/gwynne-a-wilcox-v-donald-j-trump/	Gwynne A. Wilcox v. Donald J. Trump
removed	doc-courtlistener-77081b705c03	courtlistener	court_record	2014-11-07	Published	https://www.courtlistener.com/opinion/2749997/pinnacle-premier-properties-inc-and-pinnacle-realt/	Pinnacle Premier Properties, Inc. and Pinnacle Realty Advisors, Inc v. Ghislain Breton, Catherine Denicourt and David Andreis
removed	doc-courtlistener-7e1880ba89b2	courtlistener	court_record	2025-07-08	Published	https://www.courtlistener.com/opinion/10624522/columbus-v-state/	Columbus v. State
removed	doc-courtlistener-7f4598476bb0	courtlistener	court_record	2025-09-25	Published	https://www.courtlistener.com/opinion/10677591/commonwealth-v-smith-j-aplt/	Commonwealth v. Smith, J., Aplt.
removed	doc-courtlistener-83b702dc157c	courtlistener	court_record	2013-04-09	Published	https://www.courtlistener.com/opinion/6051439/21st-century-north-america-insurance-v-douglas/	21st Century North America Insurance v. Douglas
removed	doc-courtlistener-8f375b752f10	courtlistener	court_record	2022-05-06	Published	https://www.courtlistener.com/opinion/6466514/karadzic-v-gacki/	Karadzic v. Gacki
