change_type	doc_id	source_system	document_type	doc_date	status	url	detail
removed	doc-govinfo-transcript-5f5797d2fdf5	govinfo_wssearch	congressional_record_transcript	2025-07-29	published	https://www.govinfo.gov/content/pkg/CREC-2025-07-29/html/CREC-2025-07-29-pt1-PgS4789.htm	Nomination of Emil J. Bove III (Executive Session)
removed	doc-govinfo-transcript-69c3f9d9ce3c	govinfo_wssearch	congressional_record_transcript	2025-09-02	published	https://www.govinfo.gov/content/pkg/CREC-2025-09-02/html/CREC-2025-09-02-pt1-PgD857.htm	Daily Digest/House Committee Meetings
removed	doc-govinfo-transcript-c771c1d91c83	govinfo_wssearch	congressional_record_transcript	2025-09-02	published	https://www.govinfo.gov/content/pkg/CREC-2025-09-02/html/CREC-2025-09-02-pt1-PgH3756.htm	PUBLIC BILLS AND RESOLUTIONS
