change_type	doc_id	source_system	document_type	doc_date	status	url	detail
added	doc-govinfo-transcript-4dc4d5bd2bda	govinfo_wssearch	congressional_record_transcript	2025-11-20	published	https://www.govinfo.gov/content/pkg/CREC-2025-11-20/html/CREC-2025-11-20-pt1-PgH4829-3.htm	IRREFUTABLE EVIDENCE
removed	doc-govinfo-transcript-c9be0e03d017	govinfo_wssearch	congressional_record_transcript	2025-07-17	published	https://www.govinfo.gov/content/pkg/CREC-2025-07-17/html/CREC-2025-07-17-pt1-PgS4459-2.htm	SENATE RESOLUTION 325--EXPRESSING THE SENSE OF THE SENATE THAT THE DEPARTMENT OF JUSTICE SHOULD RELEASE APPROPRIATE, NON-SENSITIVE MATERIALS RELATED TO THE INVESTIGATION OF JEFFREY EPSTEIN TO...
removed	doc-govinfo-transcript-db958ed50987	govinfo_wssearch	congressional_record_transcript	2025-09-03	published	https://www.govinfo.gov/content/pkg/CREC-2025-09-03/html/CREC-2025-09-03-pt1-PgH3780.htm	COMMITTEE ON OVERSIGHT AND GOVERNMENT REFORM EPSTEIN INVESTIGATION
