domain	url_count_last7d	first_seen_utc	last_seen_utc	sample_url
bbc.com	12	2026-02-17T02:55:43+00:00	2026-02-18T20:58:35+00:00	https://www.bbc.com/mundo/articles/ckg1dn9ey0ko
theguardian.com	12	2026-02-19T01:22:00+00:00	2026-02-19T01:22:01+00:00	https://www.theguardian.com/business/2026/feb/17/hyatt-chair-thomas-pritzker-jeffrey-epstein-ghislane-maxwell
reuters.com	10	2026-02-17T08:04:48.480000+00:00	2026-02-19T00:08:25.611000+00:00	https://www.reuters.com/business/media-telecom/uk-examining-epsteins-use-airport-trafficking-2026-02-18/
