domain	url_count_last7d	first_seen_utc	last_seen_utc	sample_url
apnews.com	51	2026-02-10T10:12:13+00:00	2026-02-15T02:45:10+00:00	https://apnews.com/article/bondi-epstein-archivos-congreso-legisladores-comparecencia-9f361ca06bcb8cdd3cb31ab13d555034
foxnews.com	20	2026-02-10T11:00:14+00:00	2026-02-16T17:38:53+00:00	https://www.foxnews.com/entertainment/chappell-roan-dumps-talent-agency-over-boss-tight-leather-outfit-emails-ghislaine-maxwell
bbc.com	7	2026-02-15T21:32:23+00:00	2026-02-17T03:38:11+00:00	https://www.bbc.com/gahuza/articles/ce3glqv4n7jo
theguardian.com	7	2026-02-17T03:54:00+00:00	2026-02-17T03:54:01+00:00	https://www.theguardian.com/commentisfree/2026/feb/15/violence-women-girls-britain-jeffrey-epstein-jess-phillips
reuters.com	3	2026-02-16T20:19:50.742000+00:00	2026-02-17T03:12:09.029000+00:00	https://www.reuters.com/sustainability/hyatt-executive-chairman-pritzker-steps-down-cites-terrible-judgment-epstein-2026-02-16/
