domain	url_count_last7d	first_seen_utc	last_seen_utc	sample_url
apnews.com	44	2026-02-20T11:52:44+00:00	2026-02-27T01:12:59+00:00	https://apnews.com/article/andrew-arrest-epstein-britain-18bfbaa26488b45f2db79911bba1b53c
bbc.com	21	2026-02-25T10:52:53+00:00	2026-02-27T00:57:28+00:00	https://www.bbc.com/afrique/articles/cnv61m398z4o
foxnews.com	16	2026-02-20T10:05:25+00:00	2026-02-27T00:01:33+00:00	https://www.foxnews.com/entertainment/andrew-mountbatten-windsors-former-home-still-swarming-police-following-arrest-over-epstein-ties
theguardian.com	14	2026-02-27T02:18:00+00:00	2026-02-27T02:18:01+00:00	https://www.theguardian.com/australia-news/2026/feb/26/morning-mail-thursday-ntwnfb
reuters.com	12	2026-02-25T12:46:50.467000+00:00	2026-02-27T01:55:47.312000+00:00	https://www.reuters.com/business/healthcare-pharmaceuticals/health-rounds-scientists-develop-promising-antibodies-prevent-epstein-barr-2026-02-25/
