domain	url_count_last7d	first_seen_utc	last_seen_utc	sample_url
apnews.com	53	2026-02-21T20:09:07+00:00	2026-02-28T02:26:02+00:00	https://apnews.com/article/andrew-epstein-carlos-ea7715d7bccd3b689d0a52c324736246
bbc.com	27	2026-02-26T18:44:27+00:00	2026-02-28T13:33:33+00:00	https://www.bbc.com/indonesia/articles/cy7jekp7e6mo
foxnews.com	18	2026-02-23T13:00:28+00:00	2026-02-27T23:27:21+00:00	https://www.foxnews.com/entertainment/hollywood-execs-lose-deals-clients-flee-epstein-files-trigger-fallout-industry
theguardian.com	11	2026-02-28T16:28:01+00:00	2026-02-28T16:28:01+00:00	https://www.theguardian.com/australia-news/2026/feb/27/afternoon-update-hillary-clinton-rebukes-epstein-committee-magda-szubanski-in-cancer-remission-and-londons-fountain-of-filth-ntwnfb
reuters.com	2	2026-02-26T18:05:47.095000+00:00	2026-02-27T08:23:30.527000+00:00	https://www.reuters.com/business/aerospace-defense/uk-reviewing-military-flight-records-latest-epstein-probe-2026-02-27/
