domain	url_count_last7d	first_seen_utc	last_seen_utc	sample_url
apnews.com	34	2026-02-13T01:22:05+00:00	2026-02-20T00:35:30+00:00	https://apnews.com/article/britain-jeffrey-epstein-prince-andrew-sex-trafficking-9a1f4e6fed3169cb94ea2e86bf5ce2cd
reuters.com	18	2026-02-18T07:31:48.144000+00:00	2026-02-20T00:30:19.749000+00:00	https://www.reuters.com/es/mundo/EPGXYT5GQJLYTMNVO24UPV4CTQ-2026-02-19/
foxnews.com	17	2026-02-13T03:01:23+00:00	2026-02-19T23:00:41+00:00	https://www.foxnews.com/entertainment/ex-prince-andrew-ignores-us-epstein-probe-requests-experts-warn-ghastly-optics-royal-family
bbc.com	11	2026-02-18T10:30:17+00:00	2026-02-19T23:07:59+00:00	https://www.bbc.com/mundo/articles/cgrzg8d97nyo
theguardian.com	11	2026-02-20T01:02:00+00:00	2026-02-20T01:02:01+00:00	https://www.theguardian.com/culture/2026/feb/18/stephen-colbert-trump-epstein
