domain	url_count_last7d	first_seen_utc	last_seen_utc	sample_url
apnews.com	72	2026-02-08T17:04:50+00:00	2026-02-15T02:45:10+00:00	https://apnews.com/article/bondi-epstein-archivos-congreso-legisladores-comparecencia-9f361ca06bcb8cdd3cb31ab13d555034
foxnews.com	28	2026-02-08T19:47:57+00:00	2026-02-15T05:27:26+00:00	https://www.foxnews.com/entertainment/chappell-roan-dumps-talent-agency-over-boss-tight-leather-outfit-emails-ghislaine-maxwell
bbc.com	14	2026-02-13T16:29:52+00:00	2026-02-14T13:28:26+00:00	https://www.bbc.com/hausa/articles/c8d5qqeg2ezo
theguardian.com	13	2026-02-15T16:22:00+00:00	2026-02-15T16:22:01+00:00	https://www.theguardian.com/commentisfree/2026/feb/15/violence-women-girls-britain-jeffrey-epstein-jess-phillips
reuters.com	5	2026-02-13T16:49:55.529000+00:00	2026-02-15T01:26:54.879000+00:00	https://www.reuters.com/fact-check/poolside-image-jeffrey-epstein-with-prominent-figures-is-ai-generated-2026-02-13/
